Date,Commodity,State,Price,Volume
2025-12-16,Onion,Maharashtra,1139.61,6752
2025-12-16,Onion,Karnataka,1217.72,8582
2025-12-16,Onion,Uttar Pradesh,1171.9,5957
2025-12-16,Onion,Delhi,1689.51,5767
2025-12-16,Potato,Maharashtra,957.14,5598
2025-12-16,Potato,Karnataka,1012.56,4339
2025-12-16,Potato,Uttar Pradesh,1116.94,2806
2025-12-16,Potato,Delhi,1254.26,3227
2025-12-16,Tomato,Maharashtra,931.43,8435
2025-12-16,Tomato,Karnataka,1015.4,5395
2025-12-16,Tomato,Uttar Pradesh,1553.13,6820
2025-12-16,Tomato,Delhi,1588.51,4086
2025-12-16,Gram,Maharashtra,4759.47,5678
2025-12-16,Gram,Karnataka,4822.15,5658
2025-12-16,Gram,Uttar Pradesh,5289.78,4708
2025-12-16,Gram,Delhi,6664.4,5481
2025-12-16,Tur,Maharashtra,7121.93,3982
2025-12-16,Tur,Karnataka,7894.15,3616
2025-12-16,Tur,Uttar Pradesh,8013.99,2763
2025-12-16,Tur,Delhi,9302.32,3779
2025-12-17,Onion,Maharashtra,1169.19,7182
2025-12-17,Onion,Karnataka,1126.73,6182
2025-12-17,Onion,Uttar Pradesh,1023.22,5350
2025-12-17,Onion,Delhi,1445.52,6057
2025-12-17,Potato,Maharashtra,1014.45,3269
2025-12-17,Potato,Karnataka,1068.1,4416
2025-12-17,Potato,Uttar Pradesh,1053.06,5101
2025-12-17,Potato,Delhi,1447.72,4313
2025-12-17,Tomato,Maharashtra,966.91,7445
2025-12-17,Tomato,Karnataka,1264.05,8985
2025-12-17,Tomato,Uttar Pradesh,1165.01,6877
2025-12-17,Tomato,Delhi,1354.78,4347
2025-12-17,Gram,Maharashtra,5235.73,7062
2025-12-17,Gram,Karnataka,5201.22,6319
2025-12-17,Gram,Uttar Pradesh,5628.07,4354
2025-12-17,Gram,Delhi,7003.36,5230
2025-12-17,Tur,Maharashtra,7113.86,6630
2025-12-17,Tur,Karnataka,6347.2,5571
2025-12-17,Tur,Uttar Pradesh,7961.37,4273
2025-12-17,Tur,Delhi,9944.04,2190
2025-12-18,Onion,Maharashtra,1054.79,7440
2025-12-18,Onion,Karnataka,1318.56,5897
2025-12-18,Onion,Uttar Pradesh,1104.26,5622
2025-12-18,Onion,Delhi,1611.45,5328
2025-12-18,Potato,Maharashtra,953.71,5568
2025-12-18,Potato,Karnataka,1052.63,5711
2025-12-18,Potato,Uttar Pradesh,1051.74,4247
2025-12-18,Potato,Delhi,1348.65,2571
2025-12-18,Tomato,Maharashtra,1194.74,8350
2025-12-18,Tomato,Karnataka,1199.62,7166
2025-12-18,Tomato,Uttar Pradesh,978.61,6541
2025-12-18,Tomato,Delhi,1508.56,4797
2025-12-18,Gram,Maharashtra,4896.25,6004
2025-12-18,Gram,Karnataka,5888.02,5446
2025-12-18,Gram,Uttar Pradesh,5593.14,4925
2025-12-18,Gram,Delhi,6207.18,3978
2025-12-18,Tur,Maharashtra,7159.06,7538
2025-12-18,Tur,Karnataka,7441.62,5073
2025-12-18,Tur,Uttar Pradesh,7908.78,3483
2025-12-18,Tur,Delhi,10419.77,4183
2025-12-19,Onion,Maharashtra,1176.65,5681
2025-12-19,Onion,Karnataka,1310.16,4734
2025-12-19,Onion,Uttar Pradesh,1272.34,8988
2025-12-19,Onion,Delhi,1383.54,4433
2025-12-19,Potato,Maharashtra,998.16,4541
2025-12-19,Potato,Karnataka,937.71,4850
2025-12-19,Potato,Uttar Pradesh,1026.96,4975
2025-12-19,Potato,Delhi,1312.29,4763
2025-12-19,Tomato,Maharashtra,979.62,7425
2025-12-19,Tomato,Karnataka,1362.1,5667
2025-12-19,Tomato,Uttar Pradesh,1308.01,9010
2025-12-19,Tomato,Delhi,1256.65,5925
2025-12-19,Gram,Maharashtra,5045.01,6424
2025-12-19,Gram,Karnataka,4796.34,3873
2025-12-19,Gram,Uttar Pradesh,5687.18,5296
2025-12-19,Gram,Delhi,6968.3,4277
2025-12-19,Tur,Maharashtra,6827.93,5285
2025-12-19,Tur,Karnataka,7662.15,4101
2025-12-19,Tur,Uttar Pradesh,8766.2,4976
2025-12-19,Tur,Delhi,9372.16,4113
2025-12-20,Onion,Maharashtra,965.34,8037
2025-12-20,Onion,Karnataka,1281.46,5499
2025-12-20,Onion,Uttar Pradesh,1318.17,6765
2025-12-20,Onion,Delhi,1601.85,6896
2025-12-20,Potato,Maharashtra,974.41,4289
2025-12-20,Potato,Karnataka,984.41,4004
2025-12-20,Potato,Uttar Pradesh,1096.36,4855
2025-12-20,Potato,Delhi,1396.57,4237
2025-12-20,Tomato,Maharashtra,1139.62,10243
2025-12-20,Tomato,Karnataka,1147.26,11609
2025-12-20,Tomato,Uttar Pradesh,1388.49,5918
2025-12-20,Tomato,Delhi,1365.02,6265
2025-12-20,Gram,Maharashtra,4877.19,6348
2025-12-20,Gram,Karnataka,5396.33,5186
2025-12-20,Gram,Uttar Pradesh,5209.62,3485
2025-12-20,Gram,Delhi,6726.22,4685
2025-12-20,Tur,Maharashtra,7232.26,3792
2025-12-20,Tur,Karnataka,7610.29,5153
2025-12-20,Tur,Uttar Pradesh,7531.06,4685
2025-12-20,Tur,Delhi,9937.19,2805
2025-12-21,Onion,Maharashtra,1125.81,7723
2025-12-21,Onion,Karnataka,1273.01,7965
2025-12-21,Onion,Uttar Pradesh,1037.88,5077
2025-12-21,Onion,Delhi,1565.8,5513
2025-12-21,Potato,Maharashtra,1028.03,8942
2025-12-21,Potato,Karnataka,1087.05,5871
2025-12-21,Potato,Uttar Pradesh,1168.98,5137
2025-12-21,Potato,Delhi,1355.68,4188
2025-12-21,Tomato,Maharashtra,983.21,7560
2025-12-21,Tomato,Karnataka,1103.92,7641
2025-12-21,Tomato,Uttar Pradesh,1727.13,4475
2025-12-21,Tomato,Delhi,1717.5,3871
2025-12-21,Gram,Maharashtra,4791.57,6765
2025-12-21,Gram,Karnataka,5254.62,4128
2025-12-21,Gram,Uttar Pradesh,5257.14,5679
2025-12-21,Gram,Delhi,6628.75,4173
2025-12-21,Tur,Maharashtra,7158.41,4392
2025-12-21,Tur,Karnataka,8499.22,5391
2025-12-21,Tur,Uttar Pradesh,7019.69,4714
2025-12-21,Tur,Delhi,9615.95,4256
2025-12-22,Onion,Maharashtra,988.35,6785
2025-12-22,Onion,Karnataka,1204.25,7718
2025-12-22,Onion,Uttar Pradesh,1059.8,5831
2025-12-22,Onion,Delhi,1447.81,4346
2025-12-22,Potato,Maharashtra,1115.96,5459
2025-12-22,Potato,Karnataka,959.25,5663
2025-12-22,Potato,Uttar Pradesh,1251.19,5484
2025-12-22,Potato,Delhi,1271.94,3284
2025-12-22,Tomato,Maharashtra,1391.92,6813
2025-12-22,Tomato,Karnataka,1290.55,8683
2025-12-22,Tomato,Uttar Pradesh,1079.65,7057
2025-12-22,Tomato,Delhi,933.05,4543
2025-12-22,Gram,Maharashtra,4869.7,4169
2025-12-22,Gram,Karnataka,5804.89,3757
2025-12-22,Gram,Uttar Pradesh,5354.98,5130
2025-12-22,Gram,Delhi,7390.7,2851
2025-12-22,Tur,Maharashtra,7663.3,5060
2025-12-22,Tur,Karnataka,7094.86,5226
2025-12-22,Tur,Uttar Pradesh,8022.78,3999
2025-12-22,Tur,Delhi,9947.91,3356
2025-12-23,Onion,Maharashtra,1097.65,7864
2025-12-23,Onion,Karnataka,1334.58,4950
2025-12-23,Onion,Uttar Pradesh,1460.44,3809
2025-12-23,Onion,Delhi,1487.39,5588
2025-12-23,Potato,Maharashtra,1012.44,4421
2025-12-23,Potato,Karnataka,1033.36,4312
2025-12-23,Potato,Uttar Pradesh,1061.82,5317
2025-12-23,Potato,Delhi,1403.84,3132
2025-12-23,Tomato,Maharashtra,1319.21,8424
2025-12-23,Tomato,Karnataka,1365.16,8465
2025-12-23,Tomato,Uttar Pradesh,1100.08,6342
2025-12-23,Tomato,Delhi,1731.81,6411
2025-12-23,Gram,Maharashtra,4952.13,5685
2025-12-23,Gram,Karnataka,5682.16,4640
2025-12-23,Gram,Uttar Pradesh,5701.98,4797
2025-12-23,Gram,Delhi,6811.94,4879
2025-12-23,Tur,Maharashtra,7513.3,5872
2025-12-23,Tur,Karnataka,8126.1,4804
2025-12-23,Tur,Uttar Pradesh,8242.28,4263
2025-12-23,Tur,Delhi,10065.12,3541
2025-12-24,Onion,Maharashtra,1096.25,7771
2025-12-24,Onion,Karnataka,1046.68,9332
2025-12-24,Onion,Uttar Pradesh,1084.4,4732
2025-12-24,Onion,Delhi,1645.37,5791
2025-12-24,Potato,Maharashtra,1036.86,5685
2025-12-24,Potato,Karnataka,1047.49,3926
2025-12-24,Potato,Uttar Pradesh,1108.83,3929
2025-12-24,Potato,Delhi,1447.66,3529
2025-12-24,Tomato,Maharashtra,974.95,7426
2025-12-24,Tomato,Karnataka,1285.97,6671
2025-12-24,Tomato,Uttar Pradesh,1102.28,7490
2025-12-24,Tomato,Delhi,1632.39,5134
2025-12-24,Gram,Maharashtra,4795.94,5813
2025-12-24,Gram,Karnataka,4729.57,3781
2025-12-24,Gram,Uttar Pradesh,5260.54,4786
2025-12-24,Gram,Delhi,6998.82,5180
2025-12-24,Tur,Maharashtra,7529.79,4888
2025-12-24,Tur,Karnataka,7532.16,3825
2025-12-24,Tur,Uttar Pradesh,7929.27,4283
2025-12-24,Tur,Delhi,10067.22,3034
2025-12-25,Onion,Maharashtra,1147.51,9073
2025-12-25,Onion,Karnataka,1132.42,7107
2025-12-25,Onion,Uttar Pradesh,1288.58,5748
2025-12-25,Onion,Delhi,1534.09,5012
2025-12-25,Potato,Maharashtra,1000.4,4269
2025-12-25,Potato,Karnataka,1050.48,5261
2025-12-25,Potato,Uttar Pradesh,1205.54,5417
2025-12-25,Potato,Delhi,1530.67,3078
2025-12-25,Tomato,Maharashtra,1315.27,8227
2025-12-25,Tomato,Karnataka,1642.14,6303
2025-12-25,Tomato,Uttar Pradesh,1099.62,6286
2025-12-25,Tomato,Delhi,1159.67,5113
2025-12-25,Gram,Maharashtra,4696.45,5722
2025-12-25,Gram,Karnataka,5357.44,7238
2025-12-25,Gram,Uttar Pradesh,5846.15,4423
2025-12-25,Gram,Delhi,6577.43,4393
2025-12-25,Tur,Maharashtra,6551.72,6900
2025-12-25,Tur,Karnataka,8073.56,4335
2025-12-25,Tur,Uttar Pradesh,7168.89,5776
2025-12-25,Tur,Delhi,9873.21,4536
2025-12-26,Onion,Maharashtra,894.43,6111
2025-12-26,Onion,Karnataka,1146.71,6640
2025-12-26,Onion,Uttar Pradesh,1152.39,7028
2025-12-26,Onion,Delhi,1379.89,4857
2025-12-26,Potato,Maharashtra,1002.38,5570
2025-12-26,Potato,Karnataka,1098.99,3708
2025-12-26,Potato,Uttar Pradesh,997.01,5706
2025-12-26,Potato,Delhi,1403.76,3092
2025-12-26,Tomato,Maharashtra,1451.79,8120
2025-12-26,Tomato,Karnataka,1440.84,7620
2025-12-26,Tomato,Uttar Pradesh,1680.55,9650
2025-12-26,Tomato,Delhi,1535.71,6824
2025-12-26,Gram,Maharashtra,5189.38,7076
2025-12-26,Gram,Karnataka,4901.53,5985
